Game,first_0_reward,first_0_loss,second_0_reward,second_0_loss,third_0_reward,third_0_loss,fourth_0_reward,fourth_0_loss
0,19.0,6.773113119171471,21.0,4.400510162421744,19.0,2.6708800956146947,21.0,5.037120226525495
1,0.0,11.09789280505358,21.0,12.061843321568603,0.0,6.552564668446714,21.0,14.775228769982663
2,8.0,29.1945336110713,21.0,42.26685256463189,8.0,28.900740355446537,21.0,41.00083338627299
3,1.0,53.89472419026116,21.0,112.30308477600714,1.0,82.46268829452276,21.0,94.28747456524374
4,4.0,88.38357682152365,21.0,248.8891922399459,4.0,188.64114140506817,21.0,194.6684543677067
5,0.0,123.02872806125214,21.0,489.4677245565307,0.0,382.7719853755773,21.0,361.23985689061385
6,0.0,144.47574351969473,21.0,783.3514734130246,0.0,598.4107558709416,21.0,555.0043693028782
7,4.0,171.93180292162685,21.0,1250.725344067488,4.0,936.8977568333703,21.0,850.3831771437181
8,0.0,217.25448904184202,21.0,1982.1780425824177,0.0,1479.9648008241757,21.0,1326.715395051726
9,2.0,266.68606719856496,21.0,3095.9222926979273,2.0,2326.520989926281,21.0,2039.474192956251
10,10.0,338.59123330127693,21.0,5114.2738215553445,10.0,4007.2447565848074,21.0,3384.640943795799
11,11.0,394.1604542777569,21.0,8379.722462541185,11.0,6638.963589566326,21.0,5534.993071357987
12,8.0,411.2806756418077,21.0,12735.562041090154,8.0,10336.691257530543,21.0,8637.21119202807
13,10.0,377.20581606242445,21.0,18018.5978799022,10.0,15018.316182284998,21.0,12531.067802121284
14,9.0,284.44071763985164,21.0,24452.331349550695,9.0,20879.640130302007,21.0,17462.180268059645
15,0.0,152.02169000674974,21.0,31529.396604949216,0.0,27157.470368886177,21.0,23204.340127897314
16,21.0,50.167463397091076,0.0,36840.76814998166,21.0,32242.999962642534,0.0,28085.206809020987
17,21.0,5.486391024418682,2.0,44286.99232099872,21.0,38357.0442377959,2.0,34479.791821471146
18,21.0,1.1617115706054437,2.0,53238.43278495687,21.0,45586.495187566936,2.0,42329.52443879041
19,21.0,1.005568550290475,1.0,64394.59309105094,21.0,54126.243254118905,1.0,52029.17959524716
20,21.0,0.7898449745402738,3.0,74791.5386231773,21.0,62102.21661444434,3.0,61341.53325524805
21,21.0,0.5541319558865113,2.0,86850.65337589594,21.0,71140.2319910029,2.0,72059.13792454304
22,21.0,0.38941139709658673,2.0,97717.74074647493,21.0,79881.02359232055,2.0,84694.59229196141
23,21.0,0.2772217996308663,3.0,110106.72061675723,21.0,88466.05181463344,3.0,98592.08888537023
24,21.0,0.20440085783322579,0.0,121125.84812427062,21.0,96306.22148721144,0.0,110434.69536416458
25,21.0,0.15711992258287003,0.0,130583.15211932259,21.0,104766.07231212794,0.0,125545.9553874709
26,21.0,0.11569986670261216,0.0,144600.92719814624,21.0,110731.42490841055,0.0,139131.25735259574
27,6.0,0.08600931676967413,21.0,156641.1943492529,6.0,114142.29369917464,21.0,152886.7181778342
28,1.0,0.0764764580912855,21.0,168696.00837661754,1.0,117021.81852790072,21.0,170069.2096017116
29,0.0,0.07008642105489096,21.0,185606.73692507937,0.0,122462.79846346198,21.0,193244.1802067392
30,1.0,0.056683093384444286,21.0,200314.9588878897,1.0,125497.47294664268,21.0,213516.43097834228
31,21.0,0.05930381115623296,20.0,214790.04654715967,21.0,125420.4548538945,20.0,245192.595804673
32,21.0,0.04244834565668231,0.0,229086.1104436156,21.0,125129.14567390818,0.0,274231.4049092284
33,0.0,0.04075883794863759,21.0,241642.6374620585,0.0,121771.85189621274,21.0,305080.43096716265
34,0.0,0.042365852941595096,21.0,254448.40250717656,0.0,119542.31587511367,21.0,333428.87502486934
35,21.0,0.04149039090025382,0.0,255154.26576169804,21.0,109844.05328323833,0.0,357271.6834404829
36,8.0,0.04032550772984355,21.0,257798.68454163225,8.0,99732.48781196942,21.0,384158.0727359805
37,21.0,0.03542419133815064,0.0,256573.07003709808,21.0,88407.06593189068,0.0,412471.5912896094
38,7.0,0.03517186383275304,21.0,237503.62164576908,7.0,74003.54319963542,21.0,426425.78028133407
39,21.0,0.035560229444277246,3.0,223071.86903950514,21.0,56616.254190102045,3.0,446017.89489910315
40,,,,,,,,
41,,,,,,,,
